gene	mean	median	longest_isoform	merged
ENSG00000297190.1	502	523	713	1377
ENSG00000285689.1	536	536	536	536
ENSG00000248775.1	246	246	246	246
ENSG00000223597.4	733	662	1339	6150
ENSG00000251250.4	203	203	203	203
ENSG00000205976.4	2465	2465	2465	2465
ENSG00000250668.3	976	914	1466	1607
ENSG00000249865.2	697	709	842	1117
ENSG00000078295.17	2677	679	9908	17608
ENSG00000305555.1	653	653	653	653
ENSG00000250761.2	522	522	522	522
ENSG00000215217.7	1524	1524	2028	2046
ENSG00000124275.15	1043	567	3274	6498
ENSG00000124279.12	1199	818	2431	2857
ENSG00000251168.1	295	295	295	295
ENSG00000199773.1	159	159	159	159
ENSG00000294393.1	1301	1301	1301	1301
ENSG00000287947.1	1030	1030	1030	1030
ENSG00000308020.1	371	371	371	371
ENSG00000308041.1	309	309	309	309
ENSG00000280338.1	576	576	576	576
ENSG00000280251.1	167	167	167	167
ENSG00000249486.1	248	248	248	248
ENSG00000245729.3	1014	677	3087	9465
ENSG00000310176.1	1304	1304	1304	1304
ENSG00000251549.2	208	208	208	208
ENSG00000247516.9	1632	1271	3370	7402
ENSG00000250037.1	613	613	613	613
ENSG00000279075.1	342	342	342	342
ENSG00000284000.1	75	75	75	75
ENSG00000302278.1	609	609	609	609
ENSG00000249782.3	807	922	1064	1234
ENSG00000279097.1	160	160	160	160
ENSG00000279264.1	341	341	341	341
ENSG00000250389.1	524	524	524	524
ENSG00000248765.1	1133	1133	1133	1133
ENSG00000279002.1	296	296	296	296
ENSG00000280373.1	233	233	233	233
ENSG00000279125.1	236	236	236	236
ENSG00000280438.1	200	200	200	200
ENSG00000278877.1	291	291	291	291
ENSG00000303606.1	1160	1379	1568	3147
ENSG00000260981.1	427	427	427	427
ENSG00000280185.1	323	323	323	323
ENSG00000250198.6	1372	784	5612	10262
ENSG00000303633.1	508	416	735	741
ENSG00000279635.1	256	256	256	256
ENSG00000250619.1	805	805	805	805
ENSG00000112902.12	4039	935	11755	12308
ENSG00000266415.1	80	80	80	80
ENSG00000310125.1	553	553	553	553
ENSG00000248537.1	391	391	391	391
ENSG00000279698.1	375	375	375	375
ENSG00000251370.1	1679	1679	1679	1679
ENSG00000250001.1	543	543	543	543
ENSG00000250786.5	958	796	1989	5182
ENSG00000239112.1	70	70	70	70
ENSG00000305019.1	584	584	584	584
ENSG00000248525.2	420	420	420	420
ENSG00000169777.7	1404	754	3005	3373
ENSG00000249781.8	681	464	1847	2630
ENSG00000222054.1	107	107	107	107
ENSG00000286556.1	876	876	876	876
ENSG00000250814.4	628	557	1033	2309
ENSG00000307008.1	680	680	680	680
ENSG00000279011.1	306	306	306	306
ENSG00000279755.1	234	234	234	234
ENSG00000310143.1	569	569	569	569
ENSG00000278874.1	311	311	311	311
ENSG00000280016.1	202	202	202	202
ENSG00000249807.1	943	943	943	943
ENSG00000297770.1	799	799	799	799
ENSG00000280449.1	224	224	224	224
ENSG00000280368.1	185	185	185	185
ENSG00000296636.1	557	557	557	557
ENSG00000260515.1	2508	2508	2508	2508
ENSG00000271998.1	2436	2436	2436	2436
ENSG00000272417.1	441	441	441	441
ENSG00000294836.1	313	313	313	313
ENSG00000150756.14	1197	789	2651	3285
ENSG00000248968.1	688	688	688	688
ENSG00000150753.12	1167	762	3293	5638
ENSG00000271980.1	2550	2550	2550	2550
ENSG00000271715.1	430	430	430	430
ENSG00000164237.9	1077	701	3893	4882
ENSG00000252341.1	108	108	108	108
ENSG00000302231.1	1820	1820	1820	1820
ENSG00000259802.4	1048	592	3335	5842
ENSG00000252671.1	110	110	110	110
ENSG00000280369.1	319	319	319	319
ENSG00000145495.17	2008	767	9641	11344
ENSG00000250600.3	1016	1003	1156	1814
ENSG00000145491.13	1142	1190	1857	4469
ENSG00000277073.1	109	109	109	109
ENSG00000249396.3	948	838	2130	3734
ENSG00000244361.1	323	323	323	323
ENSG00000249160.5	639	627	774	1109
ENSG00000302279.1	473	473	473	473
ENSG00000280017.1	1739	1739	1739	1739
ENSG00000279450.1	234	234	234	234
ENSG00000164236.12	5588	5588	9586	10043
ENSG00000250106.1	522	522	522	522
ENSG00000251196.1	800	800	800	800
ENSG00000251548.1	619	619	619	619
ENSG00000279979.1	259	259	259	259
ENSG00000278865.1	328	328	328	328
ENSG00000112977.16	958	782	2301	3323
ENSG00000272324.6	375	378	525	735
ENSG00000250576.2	441	445	559	859
ENSG00000293861.1	633	628	763	1458
ENSG00000169862.21	2176	723	5888	7317
ENSG00000207312.1	108	108	108	108
ENSG00000212305.1	106	106	106	106
ENSG00000248783.2	1186	975	2957	5487
ENSG00000308056.1	854	854	963	1152
ENSG00000248131.7	1047	809	1875	4655
ENSG00000288967.2	1315	1315	1315	1315
ENSG00000309222.1	1216	1096	2068	2744
ENSG00000309201.1	1217	1217	1217	1217
ENSG00000251112.2	632	632	632	632
ENSG00000249053.1	792	792	792	792
ENSG00000248457.2	407	394	557	673
ENSG00000296550.1	417	417	417	417
ENSG00000301839.1	325	325	391	531
ENSG00000248145.3	794	696	1342	1891
ENSG00000296089.1	284	284	284	284
ENSG00000296077.1	742	742	742	742
ENSG00000242608.1	428	428	428	428
ENSG00000248462.1	313	313	313	313
ENSG00000295198.1	1118	1118	1118	1118
ENSG00000243744.2	463	463	463	463
ENSG00000039139.11	4525	2405	15781	24848
ENSG00000251423.3	3748	3748	3912	3912
ENSG00000307550.1	578	578	578	578
ENSG00000307534.1	2498	2498	2498	2498
ENSG00000299217.1	458	403	629	649
ENSG00000038382.23	2807	817	11460	19917
ENSG00000287581.1	1753	1753	1753	1753
ENSG00000307738.1	989	989	989	989
ENSG00000145569.6	2668	581	7040	7040
ENSG00000248791.1	1294	1294	1294	1294
ENSG00000261360.4	987	528	2797	3108
ENSG00000250526.1	1593	1593	1593	1593
ENSG00000250182.3	1389	1389	1389	1389
ENSG00000154124.7	2599	1694	7969	12561
ENSG00000154122.14	1735	697	8207	12695
ENSG00000286970.1	4263	4263	4709	4709
ENSG00000249485.1	1276	1276	1276	1276
ENSG00000264792.1	84	84	84	84
ENSG00000272057.1	382	382	382	382
ENSG00000295481.1	318	318	318	318
ENSG00000249928.2	312	312	312	312
ENSG00000250662.1	253	253	253	253
ENSG00000297585.1	1430	1430	1430	1430
ENSG00000309601.1	608	608	745	745
ENSG00000286441.2	997	614	2106	3035
ENSG00000250247.1	1162	1162	1162	1162
ENSG00000299431.1	730	730	730	730
ENSG00000202269.1	135	135	135	135
ENSG00000249332.3	955	1039	1295	3156
ENSG00000302688.1	457	457	457	457
ENSG00000248834.2	634	634	634	634
ENSG00000286377.2	1102	824	1853	2344
ENSG00000248699.1	1111	1111	1111	1111
ENSG00000183580.10	3432	3960	4580	4870
ENSG00000298717.1	585	609	675	1287
ENSG00000250250.3	645	597	1270	3308
ENSG00000295307.1	577	577	577	577
ENSG00000216077.3	79	79	79	79
ENSG00000222312.1	128	128	128	128
ENSG00000183654.9	936	584	1757	1877
ENSG00000250981.4	657	760	918	1650
ENSG00000250448.2	770	676	2066	4364
ENSG00000248403.1	622	622	622	622
ENSG00000301626.1	949	949	1032	1658
ENSG00000248150.1	2120	2120	2120	2120
ENSG00000294439.1	676	676	676	676
ENSG00000249737.1	458	458	458	458
ENSG00000300672.1	717	717	717	717
ENSG00000173545.5	1707	1707	1707	1707
ENSG00000289112.3	630	630	643	761
ENSG00000154153.15	2616	2528	7708	15449
ENSG00000246214.4	1374	1309	2504	7055
ENSG00000201370.1	92	92	92	92
ENSG00000145555.15	3414	1242	11456	13982
ENSG00000253093.1	121	121	121	121
ENSG00000243538.1	348	348	348	348
ENSG00000201436.1	109	109	109	109
ENSG00000303807.1	772	783	919	2092
ENSG00000176788.9	1306	1711	1807	2146
ENSG00000215196.6	1268	966	2941	13839
ENSG00000271892.1	430	430	430	430
ENSG00000206814.1	111	111	111	111
ENSG00000251990.1	101	101	101	101
ENSG00000250816.1	555	555	555	555
ENSG00000252908.1	105	105	105	105
ENSG00000296127.1	696	696	696	696
ENSG00000185296.8	580	580	580	580
ENSG00000302913.1	401	401	556	729
ENSG00000201715.1	340	340	340	340
ENSG00000293060.1	930	930	930	930
ENSG00000223361.6	550	550	550	550
ENSG00000248223.2	666	666	867	1115
ENSG00000250822.2	1103	909	2312	4597
ENSG00000249199.3	1313	1385	2198	2200
ENSG00000248455.9	843	588	3515	8931
ENSG00000249662.7	1147	1147	1765	2069
ENSG00000268799.4	1110	1110	1110	1110
ENSG00000295870.1	544	544	544	544
ENSG00000250667.1	169	169	169	169
ENSG00000284373.1	597	597	597	597
ENSG00000248205.1	321	321	321	321
ENSG00000297361.1	1000	1000	1000	1000
ENSG00000249620.1	406	406	406	406
ENSG00000284439.1	597	597	597	597
ENSG00000284283.1	597	597	597	597
ENSG00000284234.1	597	597	597	597
ENSG00000284042.1	597	597	597	597
ENSG00000284465.1	597	597	597	597
ENSG00000250088.1	234	234	234	234
ENSG00000283967.1	597	597	597	597
ENSG00000283988.1	597	597	597	597
ENSG00000284356.1	597	597	597	597
ENSG00000248422.1	128	128	128	128
ENSG00000249282.1	253	253	253	253
ENSG00000283740.2	1351	1351	1501	1734
ENSG00000249156.3	1245	1245	1403	1720
ENSG00000271296.1	331	331	331	331
ENSG00000250351.1	407	407	407	407
ENSG00000299116.1	1000	1000	1000	1000
ENSG00000250386.1	409	409	409	409
ENSG00000283776.1	597	597	597	597
ENSG00000250782.1	594	594	594	594
ENSG00000248471.2	267	267	267	267
ENSG00000248160.1	233	233	233	233
ENSG00000248542.2	598	598	598	598
ENSG00000248337.1	271	271	271	271
ENSG00000269466.4	982	982	982	982
ENSG00000274832.1	236	236	236	236
ENSG00000250715.1	404	404	404	404
ENSG00000249937.10	936	692	4660	11348
ENSG00000294887.1	626	626	626	626
ENSG00000294859.1	317	317	317	317
ENSG00000297699.1	403	403	403	403
ENSG00000293053.1	430	430	430	430
ENSG00000240785.3	323	323	323	323
ENSG00000300927.1	409	409	409	409
ENSG00000212278.1	74	74	74	74
ENSG00000300125.1	472	472	472	472
ENSG00000297632.1	710	710	777	1237
ENSG00000297643.1	793	793	793	793
ENSG00000295029.1	304	304	304	304
ENSG00000241552.3	294	294	294	294
ENSG00000303563.1	843	843	843	843
ENSG00000293723.1	769	843	910	1183
ENSG00000299222.1	212	212	212	212
ENSG00000248693.2	502	633	636	1170
ENSG00000249191.1	474	474	474	474
ENSG00000249927.1	267	267	267	267
ENSG00000249285.1	678	678	678	678
ENSG00000276764.1	267	267	267	267
ENSG00000249174.1	660	660	660	660
ENSG00000308840.1	538	538	538	538
ENSG00000251487.2	593	448	898	1271
ENSG00000242654.1	378	378	378	378
ENSG00000249557.2	1122	1122	1122	1122
ENSG00000145526.12	1912	1897	4793	6485
ENSG00000305364.1	353	353	353	353
ENSG00000248766.2	295	295	295	295
ENSG00000214132.4	1404	1404	1404	1404
ENSG00000249854.4	846	767	1429	2623
ENSG00000249490.2	1009	890	1619	2725
ENSG00000251629.8	1140	1259	2017	10791
ENSG00000299706.1	536	575	612	876
ENSG00000248308.1	782	782	782	782
ENSG00000299683.1	999	999	999	999
ENSG00000286751.1	808	808	936	972
ENSG00000308401.1	425	425	425	425
ENSG00000296785.1	567	567	567	567
ENSG00000249359.4	1884	834	5454	6477
ENSG00000248286.1	141	141	141	141
ENSG00000291102.2	1211	1281	4233	20911
ENSG00000183666.20	758	758	758	758
ENSG00000233974.4	2688	2688	2688	2688
ENSG00000293950.1	499	499	635	806
ENSG00000293981.1	936	936	936	936
ENSG00000272130.1	291	291	291	291
ENSG00000154162.15	2278	2503	4258	5650
ENSG00000213430.6	1726	1726	1726	1726
ENSG00000253104.1	501	501	501	501
ENSG00000290530.2	750	659	1917	2264
ENSG00000168967.15	261	261	261	261
ENSG00000287471.2	734	665	1063	2010
ENSG00000249206.2	595	595	595	595
ENSG00000286961.2	2044	2437	2992	4557
ENSG00000304054.1	1146	1146	1146	1146
ENSG00000304065.1	662	662	662	662
ENSG00000249404.1	440	440	440	440
ENSG00000250319.1	677	677	677	677
ENSG00000206912.1	108	108	108	108
ENSG00000250332.1	1579	1579	1579	1579
ENSG00000249289.1	466	466	466	466
ENSG00000297049.1	653	653	653	653
ENSG00000164256.11	2557	2942	3193	3686
ENSG00000248591.1	383	383	383	383
ENSG00000307089.1	587	579	698	698
ENSG00000249607.1	446	446	446	446
ENSG00000300798.1	555	555	685	985
ENSG00000248874.6	1388	1531	2012	2498
ENSG00000252083.1	107	107	107	107
ENSG00000234865.3	352	352	352	352
ENSG00000200600.1	102	102	102	102
ENSG00000286134.3	1135	970	1931	3509
ENSG00000226432.3	877	877	877	877
ENSG00000304208.1	1257	1257	1257	1257
ENSG00000304229.1	729	784	820	1090
ENSG00000250694.1	487	487	487	487
ENSG00000277455.1	265	265	265	265
ENSG00000287199.1	478	478	478	478
ENSG00000040731.10	2247	2265	3438	3660
ENSG00000251294.1	1791	1791	1791	1791
ENSG00000249562.1	268	268	268	268
ENSG00000301045.1	427	427	427	427
ENSG00000286454.2	1310	818	3044	4047
ENSG00000250099.1	399	399	399	399
ENSG00000286238.1	2539	2539	2539	2539
ENSG00000248156.2	183	183	183	183
ENSG00000223004.1	68	68	68	68
ENSG00000248908.2	1466	1466	2290	2313
ENSG00000297342.1	396	396	396	396
ENSG00000250524.1	572	572	572	572
ENSG00000199911.1	102	102	102	102
ENSG00000251273.5	974	816	2788	5059
ENSG00000245662.5	860	713	2816	9103
ENSG00000285042.1	720	720	720	720
ENSG00000248605.6	843	861	1485	5689
ENSG00000260761.1	1513	1513	1513	1513
ENSG00000279671.1	233	233	233	233
ENSG00000294958.1	512	512	512	512
ENSG00000279531.1	188	188	188	188
ENSG00000306363.1	539	539	539	539
ENSG00000201016.1	108	108	108	108
ENSG00000279869.1	445	445	445	445
ENSG00000296327.1	531	531	531	531
ENSG00000251593.1	1732	1732	1732	1732
ENSG00000304648.1	368	368	368	368
ENSG00000286625.2	1163	1034	2149	4171
ENSG00000222560.1	137	137	137	137
ENSG00000309743.1	606	606	606	606
ENSG00000249099.1	487	487	487	487
ENSG00000286204.2	1006	1006	1006	1006
ENSG00000305591.1	716	716	716	716
ENSG00000298005.1	604	548	865	1389
ENSG00000298028.1	1255	1255	1255	1255
ENSG00000230571.2	391	391	391	391
ENSG00000248426.1	279	279	279	279
ENSG00000250703.1	148	148	148	148
ENSG00000251033.2	946	946	1208	1292
ENSG00000249616.1	1431	1431	1431	1431
ENSG00000113100.10	1561	1801	3082	4206
ENSG00000207261.1	106	106	106	106
ENSG00000296629.1	765	765	765	765
ENSG00000250337.11	1984	1274	10301	23638
ENSG00000248490.3	561	592	773	1810
ENSG00000305549.1	795	795	795	795
ENSG00000307211.1	490	490	585	600
ENSG00000303914.1	713	713	713	713
ENSG00000303929.1	590	590	590	590
ENSG00000250079.1	1201	1201	1201	1201
ENSG00000249785.4	725	699	1090	1330
ENSG00000250453.3	846	862	1244	7153
ENSG00000286432.1	967	967	967	967
ENSG00000252867.1	107	107	107	107
ENSG00000270495.1	718	718	718	718
ENSG00000259786.8	955	884	2025	9837
ENSG00000271035.1	490	490	490	490
ENSG00000162685.6	208	208	208	208
ENSG00000226400.2	256	256	256	256
ENSG00000277878.1	162	162	162	162
ENSG00000249226.1	1027	1027	1027	1027
ENSG00000252601.1	115	115	115	115
ENSG00000248687.2	263	263	263	263
ENSG00000270430.1	1294	1294	1294	1294
ENSG00000309248.1	717	717	717	717
ENSG00000308944.1	702	678	775	1332
ENSG00000286182.1	1039	1039	1039	1039
ENSG00000248391.7	862	824	1462	4664
ENSG00000309123.1	1059	1059	1708	1846
ENSG00000276098.1	500	500	500	500
ENSG00000248418.2	193	193	193	193
ENSG00000299189.1	652	652	652	652
ENSG00000296749.1	456	456	456	456
ENSG00000296733.1	956	960	1010	1148
ENSG00000250984.1	331	331	331	331
ENSG00000249744.1	535	535	535	535
ENSG00000294076.1	821	821	939	1633
ENSG00000233787.3	1237	1237	1237	1237
ENSG00000299717.1	432	432	432	432
ENSG00000223136.1	303	303	303	303
ENSG00000280305.1	3446	3446	3446	3446
ENSG00000309642.1	450	450	450	450
ENSG00000304776.1	438	445	523	641
ENSG00000297849.1	829	829	829	829
ENSG00000250587.2	544	544	544	544
ENSG00000307515.1	1117	1117	1117	1117
ENSG00000250118.1	280	280	280	280
ENSG00000293571.1	5007	5007	8563	8563
ENSG00000287940.2	992	647	2032	3948
ENSG00000303861.1	548	499	947	2083
ENSG00000303879.1	501	501	501	501
ENSG00000241668.2	589	589	589	589
ENSG00000253940.1	163	163	163	163
ENSG00000289601.2	816	841	1367	5626
ENSG00000309569.1	1416	1443	1549	2482
ENSG00000113361.13	3222	2569	8540	12443
ENSG00000250482.3	1109	1109	1109	1109
ENSG00000304666.1	1605	1605	1621	1763
ENSG00000113360.17	1309	584	5416	7782
ENSG00000206682.1	105	105	105	105
ENSG00000082213.18	1426	862	3572	4146
ENSG00000279923.1	1303	1303	1303	1303
ENSG00000199765.1	105	105	105	105
ENSG00000133401.16	2232	652	11984	15922
ENSG00000248624.1	543	543	543	543
ENSG00000248878.1	364	364	364	364
ENSG00000249114.1	392	392	392	392
ENSG00000248813.1	495	495	495	495
ENSG00000248378.1	464	464	464	464
ENSG00000250164.1	435	435	435	435
ENSG00000249688.1	438	438	438	438
ENSG00000301684.1	630	630	630	630
ENSG00000252373.1	75	75	75	75
ENSG00000224282.3	576	576	576	576
ENSG00000251887.2	97	97	97	97
ENSG00000241739.1	480	480	480	480
ENSG00000243914.1	878	878	878	878
ENSG00000308916.1	545	499	651	737
ENSG00000214108.4	521	521	521	521
ENSG00000249774.1	166	166	166	166
ENSG00000266243.1	58	58	58	58
ENSG00000308898.1	603	603	842	969
ENSG00000250764.1	834	834	834	834
ENSG00000113384.14	1472	1074	2678	2742
ENSG00000200065.1	97	97	97	97
ENSG00000272086.3	1001	754	1926	2124
ENSG00000296226.1	1165	1165	1195	1195
ENSG00000230829.3	416	416	416	416
ENSG00000150712.11	2075	671	5116	5523
ENSG00000303975.1	423	423	423	423
ENSG00000199731.1	110	110	110	110
ENSG00000207052.1	107	107	107	107
ENSG00000293806.1	229	229	229	229
ENSG00000056097.16	2058	1551	4717	6771
ENSG00000207956.1	98	98	98	98
ENSG00000301647.1	394	394	394	394
ENSG00000249142.1	1108	1108	1108	1108
ENSG00000113387.13	1450	636	4273	9694
ENSG00000301671.1	744	744	744	744
ENSG00000250885.1	335	335	335	335
ENSG00000286741.1	2056	2056	2056	2056
ENSG00000113389.16	3015	1753	7457	9979
ENSG00000250697.3	817	712	1636	4148
ENSG00000309532.1	1758	1758	1758	1758
ENSG00000309607.1	910	910	910	910
ENSG00000251062.1	156	156	156	156
ENSG00000309585.1	289	289	334	428
ENSG00000248279.5	1259	1259	2008	2008
ENSG00000309567.1	372	372	372	372
ENSG00000249102.4	829	786	1187	2053
ENSG00000251281.1	425	425	425	425
ENSG00000250672.1	224	224	224	224
ENSG00000240376.1	629	629	629	629
ENSG00000251443.4	745	711	1580	6393
ENSG00000288579.1	1600	1600	1600	1600
ENSG00000302191.1	266	266	266	266
ENSG00000249572.4	966	800	1916	2417
ENSG00000113407.14	1277	757	2672	4257
ENSG00000249360.1	1064	1064	1064	1064
ENSG00000250583.1	917	917	917	917
ENSG00000151388.11	3072	1873	8572	9605
ENSG00000201623.1	107	107	107	107
ENSG00000182631.7	2533	2533	2533	2533
ENSG00000164175.15	1394	1040	2723	3223
ENSG00000250914.1	1145	1145	1145	1145
ENSG00000242110.9	2342	2117	4108	4335
ENSG00000273294.1	3424	3424	3424	3424
ENSG00000289791.1	1012	862	1316	1316
ENSG00000250767.1	681	681	681	681
ENSG00000082196.21	1629	1474	3773	4547
ENSG00000290548.2	1090	819	5001	11829
ENSG00000278900.1	587	587	587	587
ENSG00000279995.1	224	224	224	224
ENSG00000271771.1	647	647	647	647
ENSG00000215158.10	458	458	458	458
ENSG00000215156.6	3498	3498	3498	3498
ENSG00000286543.2	1154	689	2775	5536
ENSG00000304753.1	759	798	1061	2166
ENSG00000249380.1	823	823	823	823
ENSG00000307099.1	477	322	796	1153
ENSG00000307087.1	845	845	1393	1393
ENSG00000307113.1	751	751	751	751
ENSG00000271874.2	610	615	827	1948
ENSG00000039560.14	1272	572	5064	7581
ENSG00000302750.1	424	424	432	487
ENSG00000272323.2	1624	1624	1624	1624
ENSG00000205838.15	1312	1101	3410	5577
ENSG00000302680.1	991	977	1296	2393
ENSG00000250140.1	425	425	425	425
ENSG00000241829.1	464	464	464	464
ENSG00000113456.20	1547	1153	4512	5627
ENSG00000113460.13	1614	1591	2380	4710
ENSG00000302970.1	289	289	289	289
ENSG00000168724.18	2955	2788	6208	14282
ENSG00000113492.14	1613	1696	2219	3952
ENSG00000299771.1	405	405	405	405
ENSG00000301126.1	450	324	777	1219
ENSG00000113494.17	2217	1389	11581	13006
ENSG00000250886.1	456	456	456	456
ENSG00000304378.1	405	405	405	405
ENSG00000307231.1	708	619	1039	1680
ENSG00000201368.2	214	214	214	214
ENSG00000152582.14	2866	1865	7350	16140
ENSG00000238441.1	62	62	62	62
ENSG00000248969.2	598	598	657	830
ENSG00000168685.15	1121	619	4584	6020
ENSG00000279737.1	332	332	332	332
ENSG00000248349.1	103	103	103	103
ENSG00000152611.12	852	966	1004	1142
ENSG00000249748.2	427	427	428	590
ENSG00000145626.12	2605	1902	5002	8489
ENSG00000168671.10	1371	1476	2342	2683
ENSG00000251591.2	289	289	289	289
ENSG00000164187.7	2968	418	8116	8352
ENSG00000207756.1	97	97	97	97
ENSG00000145604.17	3062	3083	7461	17377
ENSG00000201223.1	104	104	104	104
ENSG00000152620.13	1802	1233	4011	5015
ENSG00000245711.2	720	720	720	720
ENSG00000164188.9	2251	1905	4625	4884
ENSG00000298515.1	549	549	549	549
ENSG00000287634.2	616	616	687	687
ENSG00000303823.1	539	539	539	539
ENSG00000299633.1	463	463	512	546
ENSG00000297854.1	507	494	553	890
ENSG00000222178.1	98	98	98	98
ENSG00000297884.1	643	643	643	643
ENSG00000297790.1	763	694	1431	3278
ENSG00000242292.2	156	156	156	156
ENSG00000079215.15	2015	758	6868	21227
ENSG00000274441.1	396	396	396	396
ENSG00000250155.4	1085	791	2358	5466
ENSG00000297819.1	602	614	691	691
ENSG00000300426.1	823	823	823	823
ENSG00000304657.1	566	566	566	566
ENSG00000272103.2	2237	2237	2237	2237
ENSG00000285967.2	1820	964	5337	6939
ENSG00000304702.1	525	525	525	525
ENSG00000164190.19	4175	2948	10425	12519
ENSG00000249850.1	1292	1292	1292	1292
ENSG00000309369.1	432	432	432	432
ENSG00000244073.1	797	797	797	797
ENSG00000197603.16	3523	2955	11302	21307
ENSG00000271378.1	271	271	271	271
ENSG00000228212.1	3018	3018	3018	3018
ENSG00000242493.3	307	307	307	307
ENSG00000286193.4	1061	776	3046	3730
ENSG00000270558.1	529	529	529	529
ENSG00000113569.17	3221	1896	8086	9176
ENSG00000251880.1	62	62	62	62
ENSG00000308492.1	242	242	242	242
ENSG00000250455.1	323	323	323	323
ENSG00000082068.9	1784	759	5716	6966
ENSG00000248216.1	1170	1170	1170	1170
ENSG00000308476.1	351	351	351	351
ENSG00000222743.1	104	104	104	104
ENSG00000206743.1	107	107	107	107
ENSG00000248587.9	1341	868	5345	17982
ENSG00000168621.15	1807	817	4171	4628
ENSG00000305556.1	845	845	845	845
ENSG00000248539.2	619	653	664	1023
ENSG00000250032.2	888	888	918	1297
ENSG00000297731.1	269	269	269	269
ENSG00000276332.1	717	717	717	717
ENSG00000300131.1	797	797	799	852
ENSG00000164318.18	1828	1140	4720	6183
ENSG00000248730.1	1579	1579	1579	1579
ENSG00000249071.2	549	549	549	549
ENSG00000248572.7	916	606	1677	2078
ENSG00000249491.2	519	519	519	519
ENSG00000248234.1	269	269	269	269
ENSG00000300362.1	702	702	702	702
ENSG00000251257.4	870	778	1466	2507
ENSG00000113594.10	2973	757	10553	12159
ENSG00000244968.8	2595	2857	3803	7995
ENSG00000265304.1	60	60	60	60
ENSG00000295134.1	516	516	516	516
ENSG00000249740.5	728	665	2120	10838
ENSG00000251189.1	554	554	554	554
ENSG00000248577.1	584	584	584	584
ENSG00000250629.1	565	565	565	565
ENSG00000145623.13	1809	766	5526	7174
ENSG00000164327.14	4304	3126	9605	13457
ENSG00000249089.1	148	148	148	148
ENSG00000289196.3	1036	1036	1646	1646
ENSG00000286809.1	1353	1353	1353	1353
ENSG00000082074.19	1817	749	4829	8823
ENSG00000251215.1	980	980	980	980
ENSG00000113600.12	1963	2553	2770	3567
ENSG00000289699.1	560	560	560	560
ENSG00000153071.15	1319	606	4537	7717
ENSG00000303505.1	339	339	339	339
ENSG00000299909.1	751	751	751	751
ENSG00000271334.7	533	556	660	1343
ENSG00000306899.1	871	633	1854	2099
ENSG00000251515.1	1162	1162	1162	1162
ENSG00000304950.1	571	571	742	742
ENSG00000250492.1	2530	2530	2530	2530
ENSG00000304595.1	515	515	586	589
ENSG00000301207.1	631	483	1016	1253
ENSG00000248651.1	484	484	484	484
ENSG00000250048.2	651	651	733	936
ENSG00000306792.1	1791	1791	1791	1791
ENSG00000249668.1	550	550	550	550
ENSG00000310085.1	1044	1044	1044	1044
ENSG00000250585.4	541	534	694	1348
ENSG00000199361.1	162	162	162	162
ENSG00000287597.1	1929	1929	1929	1929
ENSG00000298475.1	360	360	360	360
ENSG00000304179.1	679	679	679	679
ENSG00000305258.1	828	828	828	828
ENSG00000283286.3	890	662	1919	2253
ENSG00000293871.1	592	592	592	592
ENSG00000285552.1	873	873	935	935
ENSG00000285616.1	3529	3529	3529	3529
ENSG00000113638.14	2037	1707	5497	9708
ENSG00000199552.1	132	132	132	132
ENSG00000289540.2	541	541	541	541
ENSG00000171522.6	1208	560	3431	3544
ENSG00000300383.1	537	504	717	1158
ENSG00000132356.12	1392	919	5254	6553
ENSG00000212567.1	128	128	128	128
ENSG00000288911.3	1945	1945	1945	1945
ENSG00000145592.14	1688	529	7573	8040
ENSG00000212296.1	80	80	80	80
ENSG00000132357.14	2566	2566	4038	4275
ENSG00000112936.21	2387	2133	5716	10105
ENSG00000253098.1	62	62	62	62
ENSG00000248120.1	259	259	259	259
ENSG00000171495.17	3338	3838	5280	6085
ENSG00000308698.1	953	953	1002	1002
ENSG00000308716.1	441	428	500	598
ENSG00000039537.16	1537	1168	3691	6900
ENSG00000307984.1	160	160	160	160
ENSG00000300694.1	749	535	1442	1818
ENSG00000182836.11	7706	7706	7706	7706
ENSG00000300714.1	378	337	527	808
ENSG00000300736.1	670	625	882	1239
ENSG00000296840.1	1236	1236	1236	1236
ENSG00000251478.1	1562	1562	1562	1562
ENSG00000083720.13	1165	1018	3294	4100
ENSG00000303128.1	407	407	407	407
ENSG00000248668.4	794	474	2376	3928
ENSG00000240281.2	532	532	532	532
ENSG00000205765.10	2148	637	5246	5577
ENSG00000151876.13	1079	831	1731	3014
ENSG00000239694.1	881	881	881	881
ENSG00000199487.1	102	102	102	102
ENSG00000249266.1	1022	1022	1022	1022
ENSG00000302989.1	1443	1302	1960	2777
ENSG00000260786.1	3258	3258	3258	3258
ENSG00000308996.1	1074	1161	1299	1838
ENSG00000300835.1	727	727	1126	1252
ENSG00000306695.1	537	537	537	537
ENSG00000112964.14	3472	4419	4899	6948
ENSG00000248873.1	932	932	932	932
ENSG00000250860.1	1408	1408	1408	1408
ENSG00000270513.1	382	382	382	382
ENSG00000198865.10	2365	2365	3493	3493
ENSG00000250722.6	1209	786	4175	5502
ENSG00000272234.1	604	604	604	604
ENSG00000286271.4	1121	1259	1851	5853
ENSG00000249092.1	499	499	499	499
ENSG00000251163.1	571	571	571	571
ENSG00000251656.1	460	460	460	460
ENSG00000249516.1	571	571	571	571
ENSG00000177738.7	961	697	4571	17451
ENSG00000300538.1	954	954	954	954
