"","circRNA","miRNAs"
"26355","hsa_circ_0003490","hsa-miR-548g-3p"
"26356","hsa_circ_0003490","hsa-miR-548p"
"26357","hsa_circ_0003490","hsa-miR-555"
"26358","hsa_circ_0003490","hsa-miR-561-3p"
"26359","hsa_circ_0003490","hsa-miR-567"
"26360","hsa_circ_0003490","hsa-miR-578"
"26361","hsa_circ_0003490","hsa-miR-593-3p"
"26362","hsa_circ_0003490","hsa-miR-600"
"26363","hsa_circ_0003490","hsa-miR-607"
"26364","hsa_circ_0003490","hsa-miR-616-3p"
"26365","hsa_circ_0003490","hsa-miR-630"
"26366","hsa_circ_0003490","hsa-miR-651-5p"
"26367","hsa_circ_0003490","hsa-miR-657"
"26368","hsa_circ_0003490","hsa-miR-873-5p"
"26369","hsa_circ_0003490","hsa-miR-874-3p"
"26370","hsa_circ_0003490","hsa-miR-877-5p"
"26371","hsa_circ_0003490","hsa-miR-892b"
"26372","hsa_circ_0003490","hsa-miR-921"
"26373","hsa_circ_0003490","hsa-miR-940"
"26374","hsa_circ_0007448","hsa-miR-1206"
"26375","hsa_circ_0007448","hsa-miR-1225-5p"
"26376","hsa_circ_0007448","hsa-miR-1257"
"26377","hsa_circ_0007448","hsa-miR-1279"
"26378","hsa_circ_0007448","hsa-miR-1825"
"26379","hsa_circ_0007448","hsa-miR-515-5p"
"26380","hsa_circ_0007448","hsa-miR-548c-3p"
"26381","hsa_circ_0007448","hsa-miR-549a-3p"
"26382","hsa_circ_0007448","hsa-miR-555"
"26383","hsa_circ_0007448","hsa-miR-556-5p"
"26384","hsa_circ_0007448","hsa-miR-578"
"26385","hsa_circ_0007448","hsa-miR-599"
"26386","hsa_circ_0007448","hsa-miR-607"
"26387","hsa_circ_0007448","hsa-miR-615-3p"
"26388","hsa_circ_0007448","hsa-miR-766-3p"
"26389","hsa_circ_0007448","hsa-miR-875-5p"
"26390","hsa_circ_0005617","hsa-miR-1208"
"26391","hsa_circ_0005617","hsa-miR-1225-3p"
"26392","hsa_circ_0005617","hsa-miR-1227-3p"
"26393","hsa_circ_0005617","hsa-miR-1233-3p"
"26394","hsa_circ_0005617","hsa-miR-1252-5p"
"26395","hsa_circ_0005617","hsa-miR-1827"
"26396","hsa_circ_0005617","hsa-miR-370-3p"
"26397","hsa_circ_0005617","hsa-miR-494-3p"
"26398","hsa_circ_0005617","hsa-miR-516a-5p"
"26399","hsa_circ_0005617","hsa-miR-526b-5p"
"26400","hsa_circ_0005617","hsa-miR-578"
"26401","hsa_circ_0005617","hsa-miR-635"
"26402","hsa_circ_0005617","hsa-miR-942-5p"
"26403","hsa_circ_0004223","hsa-miR-1231"
"26404","hsa_circ_0004223","hsa-miR-1278"
"26405","hsa_circ_0004223","hsa-miR-1292-5p"
"26406","hsa_circ_0004223","hsa-miR-183-5p"
"26407","hsa_circ_0004223","hsa-miR-619-3p"
"26408","hsa_circ_0004223","hsa-miR-892a"
"26409","hsa_circ_0006978","hsa-miR-1200"
"26410","hsa_circ_0006978","hsa-miR-1208"
"26411","hsa_circ_0006978","hsa-miR-1225-3p"
"26412","hsa_circ_0006978","hsa-miR-1233-3p"
"26413","hsa_circ_0006978","hsa-miR-1252-5p"
"26414","hsa_circ_0006978","hsa-miR-1278"
"26415","hsa_circ_0006978","hsa-miR-1279"
"26416","hsa_circ_0006978","hsa-miR-1290"
"26417","hsa_circ_0006978","hsa-miR-136-5p"
"26418","hsa_circ_0006978","hsa-miR-194-5p"
"26419","hsa_circ_0006978","hsa-miR-331-5p"
"26420","hsa_circ_0006978","hsa-miR-513a-3p"
"26421","hsa_circ_0006978","hsa-miR-513a-5p"
"26422","hsa_circ_0006978","hsa-miR-515-5p"
"26423","hsa_circ_0006978","hsa-miR-518a-5p"
"26424","hsa_circ_0006978","hsa-miR-520g-3p"
"26425","hsa_circ_0006978","hsa-miR-520h"
"26426","hsa_circ_0006978","hsa-miR-527"
"26427","hsa_circ_0006978","hsa-miR-561-3p"
"26428","hsa_circ_0006978","hsa-miR-576-5p"
"26429","hsa_circ_0006978","hsa-miR-623"
"26430","hsa_circ_0006978","hsa-miR-661"
"26431","hsa_circ_0006978","hsa-miR-668-3p"
"26432","hsa_circ_0006978","hsa-miR-892a"
"26433","hsa_circ_0006978","hsa-miR-942-5p"
"26434","hsa_circ_0060236","hsa-miR-1238-3p"
"26435","hsa_circ_0060236","hsa-miR-1305"
"26436","hsa_circ_0060236","hsa-miR-223-3p"
"26437","hsa_circ_0060236","hsa-miR-382-5p"
"26438","hsa_circ_0060236","hsa-miR-485-3p"
"26439","hsa_circ_0060236","hsa-miR-520g-3p"
"26440","hsa_circ_0060236","hsa-miR-520h"
"26441","hsa_circ_0060236","hsa-miR-607"
"26442","hsa_circ_0060236","hsa-miR-626"
"26443","hsa_circ_0060236","hsa-miR-653-5p"
"26444","hsa_circ_0060236","hsa-miR-767-3p"
"26445","hsa_circ_0001947","hsa-miR-1252-5p"
"26446","hsa_circ_0001947","hsa-miR-1256"
"26447","hsa_circ_0001947","hsa-miR-1264"
"26448","hsa_circ_0001947","hsa-miR-1276"
"26449","hsa_circ_0001947","hsa-miR-1294"
"26450","hsa_circ_0001947","hsa-miR-1299"
"26451","hsa_circ_0001947","hsa-miR-145-5p"
"26452","hsa_circ_0001947","hsa-miR-182-5p"
"26453","hsa_circ_0001947","hsa-miR-188-3p"
"26454","hsa_circ_0001947","hsa-miR-31-5p"
"26455","hsa_circ_0001947","hsa-miR-375-3p"
"26456","hsa_circ_0001947","hsa-miR-450b-3p"
"26457","hsa_circ_0001947","hsa-miR-486-3p"
"26458","hsa_circ_0001947","hsa-miR-488-3p"
"26459","hsa_circ_0001947","hsa-miR-507"
"26460","hsa_circ_0001947","hsa-miR-510-5p"
"26461","hsa_circ_0001947","hsa-miR-515-5p"
"26462","hsa_circ_0001947","hsa-miR-516b-5p"
"26463","hsa_circ_0001947","hsa-miR-520g-3p"
"26464","hsa_circ_0001947","hsa-miR-520h"
"26465","hsa_circ_0001947","hsa-miR-548p"
"26466","hsa_circ_0001947","hsa-miR-557"
"26467","hsa_circ_0001947","hsa-miR-579-3p"
"26468","hsa_circ_0001947","hsa-miR-583"
"26469","hsa_circ_0001947","hsa-miR-587"
"26470","hsa_circ_0001947","hsa-miR-604"
"26471","hsa_circ_0001947","hsa-miR-610"
"26472","hsa_circ_0001947","hsa-miR-629-5p"
"26473","hsa_circ_0001947","hsa-miR-637"
"26474","hsa_circ_0001947","hsa-miR-647"
"26475","hsa_circ_0001947","hsa-miR-659-3p"
"26476","hsa_circ_0001947","hsa-miR-661"
"26477","hsa_circ_0001947","hsa-miR-671-5p"
"26478","hsa_circ_0001947","hsa-miR-769-3p"
"26479","hsa_circ_0001947","hsa-miR-892b"
"26480","hsa_circ_0001947","hsa-miR-942-5p"
"26481","hsa_circ_0001947","hsa-miR-944"
"26482","hsa_circ_0001851","hsa-miR-1184"
"26483","hsa_circ_0001851","hsa-miR-1205"
"26484","hsa_circ_0001851","hsa-miR-1286"
"26485","hsa_circ_0001851","hsa-miR-188-3p"
"26486","hsa_circ_0001851","hsa-miR-576-3p"
"26487","hsa_circ_0001851","hsa-miR-580-3p"
"26488","hsa_circ_0001851","hsa-miR-589-5p"
"26489","hsa_circ_0001851","hsa-miR-606"
"26490","hsa_circ_0001851","hsa-miR-646"
"26491","hsa_circ_0001851","hsa-miR-767-5p"
"26492","hsa_circ_0068943","hsa-miR-1248"
"26493","hsa_circ_0068943","hsa-miR-1263"
"26494","hsa_circ_0068943","hsa-miR-1294"
"26495","hsa_circ_0068943","hsa-miR-197-3p"
"26496","hsa_circ_0068943","hsa-miR-326"
"26497","hsa_circ_0068943","hsa-miR-330-5p"
"26498","hsa_circ_0068943","hsa-miR-490-5p"
"26499","hsa_circ_0068943","hsa-miR-502-5p"
"26500","hsa_circ_0068943","hsa-miR-508-3p"
"26501","hsa_circ_0068943","hsa-miR-513a-5p"
"26502","hsa_circ_0068943","hsa-miR-558"
"26503","hsa_circ_0068943","hsa-miR-577"
"26504","hsa_circ_0068943","hsa-miR-653-5p"
"26505","hsa_circ_0068943","hsa-miR-658"
"26506","hsa_circ_0068943","hsa-miR-769-5p"
"26507","hsa_circ_0068943","hsa-miR-942-5p"
"26508","hsa_circ_0049221","hsa-miR-1184"
"26509","hsa_circ_0049221","hsa-miR-1200"
"26510","hsa_circ_0049221","hsa-miR-1205"
"26511","hsa_circ_0049221","hsa-miR-1236-3p"
"26512","hsa_circ_0049221","hsa-miR-1286"
"26513","hsa_circ_0049221","hsa-miR-182-5p"
"26514","hsa_circ_0049221","hsa-miR-326"
"26515","hsa_circ_0049221","hsa-miR-330-5p"
"26516","hsa_circ_0049221","hsa-miR-502-5p"
"26517","hsa_circ_0049221","hsa-miR-518a-5p"
"26518","hsa_circ_0049221","hsa-miR-527"
"26519","hsa_circ_0049221","hsa-miR-576-3p"
"26520","hsa_circ_0049221","hsa-miR-618"
"26521","hsa_circ_0049221","hsa-miR-659-3p"
"26522","hsa_circ_0049221","hsa-miR-661"
"26523","hsa_circ_0049221","hsa-miR-876-3p"
"26524","hsa_circ_0049221","hsa-miR-942-5p"
"26525","hsa_circ_0004019","hsa-miR-1178-3p"
"26526","hsa_circ_0004019","hsa-miR-1179"
"26527","hsa_circ_0004019","hsa-miR-1180-3p"
"26528","hsa_circ_0004019","hsa-miR-1182"
"26529","hsa_circ_0004019","hsa-miR-1183"
"26530","hsa_circ_0004019","hsa-miR-1184"
"26531","hsa_circ_0004019","hsa-miR-1197"
"26532","hsa_circ_0004019","hsa-miR-1200"
"26533","hsa_circ_0004019","hsa-miR-1203"
"26534","hsa_circ_0004019","hsa-miR-1204"
"26535","hsa_circ_0004019","hsa-miR-1205"
"26536","hsa_circ_0004019","hsa-miR-1206"
"26537","hsa_circ_0004019","hsa-miR-1208"
"26538","hsa_circ_0004019","hsa-miR-1224-3p"
"26539","hsa_circ_0004019","hsa-miR-1225-3p"
"26540","hsa_circ_0004019","hsa-miR-1225-5p"
"26541","hsa_circ_0004019","hsa-miR-1227-3p"
"26542","hsa_circ_0004019","hsa-miR-1228-3p"
"26543","hsa_circ_0004019","hsa-miR-1229-3p"
"26544","hsa_circ_0004019","hsa-miR-1231"
"26545","hsa_circ_0004019","hsa-miR-1233-3p"
"26546","hsa_circ_0004019","hsa-miR-1234-3p"
"26547","hsa_circ_0004019","hsa-miR-1236-3p"
"26548","hsa_circ_0004019","hsa-miR-1238-3p"
"26549","hsa_circ_0004019","hsa-miR-1243"
"26550","hsa_circ_0004019","hsa-miR-1244"
"26551","hsa_circ_0004019","hsa-miR-1245a"
"26552","hsa_circ_0004019","hsa-miR-1246"
"26553","hsa_circ_0004019","hsa-miR-1248"
"26554","hsa_circ_0004019","hsa-miR-1250-5p"
"26555","hsa_circ_0004019","hsa-miR-1251-5p"
"26556","hsa_circ_0004019","hsa-miR-1252-5p"
"26557","hsa_circ_0004019","hsa-miR-1253"
"26558","hsa_circ_0004019","hsa-miR-1256"
"26559","hsa_circ_0004019","hsa-miR-1257"
"26560","hsa_circ_0004019","hsa-miR-1258"
"26561","hsa_circ_0004019","hsa-miR-1261"
"26562","hsa_circ_0004019","hsa-miR-1263"
"26563","hsa_circ_0004019","hsa-miR-1264"
"26564","hsa_circ_0004019","hsa-miR-1265"
"26565","hsa_circ_0004019","hsa-miR-1270"
"26566","hsa_circ_0004019","hsa-miR-1272"
"26567","hsa_circ_0004019","hsa-miR-1273"
"26568","hsa_circ_0004019","hsa-miR-127-5p"
"26569","hsa_circ_0004019","hsa-miR-1276"
"26570","hsa_circ_0004019","hsa-miR-1277-3p"
"26571","hsa_circ_0004019","hsa-miR-1278"
"26572","hsa_circ_0004019","hsa-miR-1279"
"26573","hsa_circ_0004019","hsa-miR-1280"
"26574","hsa_circ_0004019","hsa-miR-1281"
"26575","hsa_circ_0004019","hsa-miR-1282"
"26576","hsa_circ_0004019","hsa-miR-1283"
"26577","hsa_circ_0004019","hsa-miR-1286"
"26578","hsa_circ_0004019","hsa-miR-1287-5p"
"26579","hsa_circ_0004019","hsa-miR-1288-3p"
"26580","hsa_circ_0004019","hsa-miR-1289"
"26581","hsa_circ_0004019","hsa-miR-1290"
"26582","hsa_circ_0004019","hsa-miR-1292-5p"
"26583","hsa_circ_0004019","hsa-miR-1294"
"26584","hsa_circ_0004019","hsa-miR-1295a"
"26585","hsa_circ_0004019","hsa-miR-1296-5p"
"26586","hsa_circ_0004019","hsa-miR-1298-5p"
"26587","hsa_circ_0004019","hsa-miR-1299"
"26588","hsa_circ_0004019","hsa-miR-1303"
"26589","hsa_circ_0004019","hsa-miR-1304-5p"
"26590","hsa_circ_0004019","hsa-miR-1305"
"26591","hsa_circ_0004019","hsa-miR-1307-3p"
"26592","hsa_circ_0004019","hsa-miR-1322"
"26593","hsa_circ_0004019","hsa-miR-1324"
"26594","hsa_circ_0004019","hsa-miR-136-5p"
"26595","hsa_circ_0004019","hsa-miR-139-5p"
"26596","hsa_circ_0004019","hsa-miR-140-3p"
"26597","hsa_circ_0004019","hsa-miR-142-3p"
"26598","hsa_circ_0004019","hsa-miR-142-5p"
"26599","hsa_circ_0004019","hsa-miR-144-3p"
"26600","hsa_circ_0004019","hsa-miR-145-5p"
"26601","hsa_circ_0004019","hsa-miR-146b-3p"
"26602","hsa_circ_0004019","hsa-miR-147b"
"26603","hsa_circ_0004019","hsa-miR-149-5p"
"26604","hsa_circ_0004019","hsa-miR-151a-3p"
"26605","hsa_circ_0004019","hsa-miR-153-3p"
"26606","hsa_circ_0004019","hsa-miR-155"
"26607","hsa_circ_0004019","hsa-miR-182-5p"
"26608","hsa_circ_0004019","hsa-miR-1825"
"26609","hsa_circ_0004019","hsa-miR-1827"
"26610","hsa_circ_0004019","hsa-miR-183-5p"
"26611","hsa_circ_0004019","hsa-miR-184"
"26612","hsa_circ_0004019","hsa-miR-186-5p"
"26613","hsa_circ_0004019","hsa-miR-187-3p"
"26614","hsa_circ_0004019","hsa-miR-188-3p"
"26615","hsa_circ_0004019","hsa-miR-191-5p"
"26616","hsa_circ_0004019","hsa-miR-192-5p"
"26617","hsa_circ_0004019","hsa-miR-194-5p"
"26618","hsa_circ_0004019","hsa-miR-197-3p"
"26619","hsa_circ_0004019","hsa-miR-198"
"26620","hsa_circ_0004019","hsa-miR-203a-3p"
"26621","hsa_circ_0004019","hsa-miR-21-5p"
"26622","hsa_circ_0004019","hsa-miR-210-3p"
"26623","hsa_circ_0004019","hsa-miR-215-5p"
"26624","hsa_circ_0004019","hsa-miR-217-5p"
"26625","hsa_circ_0004019","hsa-miR-223-3p"
"26626","hsa_circ_0004019","hsa-miR-224"
"26627","hsa_circ_0004019","hsa-miR-296-5p"
"26628","hsa_circ_0004019","hsa-miR-31-5p"
"26629","hsa_circ_0004019","hsa-miR-323a-3p"
"26630","hsa_circ_0004019","hsa-miR-324-5p"
"26631","hsa_circ_0004019","hsa-miR-326"
"26632","hsa_circ_0004019","hsa-miR-330-3p"
"26633","hsa_circ_0004019","hsa-miR-330-5p"
"26634","hsa_circ_0004019","hsa-miR-331-3p"
"26635","hsa_circ_0004019","hsa-miR-331-5p"
"26636","hsa_circ_0004019","hsa-miR-335-5p"
"26637","hsa_circ_0004019","hsa-miR-337-3p"
"26638","hsa_circ_0004019","hsa-miR-338-3p"
"26639","hsa_circ_0004019","hsa-miR-338-5p"
"26640","hsa_circ_0004019","hsa-miR-346"
"26641","hsa_circ_0004019","hsa-miR-361-3p"
"26642","hsa_circ_0004019","hsa-miR-369-5p"
"26643","hsa_circ_0004019","hsa-miR-370-3p"
"26644","hsa_circ_0004019","hsa-miR-375-3p"
"26645","hsa_circ_0004019","hsa-miR-377-3p"
"26646","hsa_circ_0004019","hsa-miR-382-5p"
"26647","hsa_circ_0004019","hsa-miR-383-5p"
"26648","hsa_circ_0004019","hsa-miR-384"
"26649","hsa_circ_0004019","hsa-miR-409-3p"
"26650","hsa_circ_0004019","hsa-miR-411-5p"
"26651","hsa_circ_0004019","hsa-miR-421"
"26652","hsa_circ_0004019","hsa-miR-431-5p"
"26653","hsa_circ_0004019","hsa-miR-432-5p"
"26654","hsa_circ_0004019","hsa-miR-433-3p"
"26655","hsa_circ_0004019","hsa-miR-450b-3p"
"26656","hsa_circ_0004019","hsa-miR-485-3p"
"26657","hsa_circ_0004019","hsa-miR-486-3p"
"26658","hsa_circ_0004019","hsa-miR-487a-3p"
"26659","hsa_circ_0004019","hsa-miR-488-3p"
"26660","hsa_circ_0004019","hsa-miR-490-5p"
"26661","hsa_circ_0004019","hsa-miR-492"
"26662","hsa_circ_0004019","hsa-miR-494-3p"
"26663","hsa_circ_0004019","hsa-miR-495-3p"
"26664","hsa_circ_0004019","hsa-miR-496"
"26665","hsa_circ_0004019","hsa-miR-498-5p"
"26666","hsa_circ_0004019","hsa-miR-502-5p"
"26667","hsa_circ_0004019","hsa-miR-503-5p"
"26668","hsa_circ_0004019","hsa-miR-507"
"26669","hsa_circ_0004019","hsa-miR-508-3p"
"26670","hsa_circ_0004019","hsa-miR-510-5p"
"26671","hsa_circ_0004019","hsa-miR-512-5p"
"26672","hsa_circ_0004019","hsa-miR-513a-3p"
"26673","hsa_circ_0004019","hsa-miR-513a-5p"
"26674","hsa_circ_0004019","hsa-miR-515-3p"
"26675","hsa_circ_0004019","hsa-miR-515-5p"
"26676","hsa_circ_0004019","hsa-miR-516b-5p"
"26677","hsa_circ_0004019","hsa-miR-518a-5p"
"26678","hsa_circ_0004019","hsa-miR-519e-3p"
"26679","hsa_circ_0004019","hsa-miR-520f-3p"
"26680","hsa_circ_0004019","hsa-miR-520g-3p"
"26681","hsa_circ_0004019","hsa-miR-520h"
"26682","hsa_circ_0004019","hsa-miR-521"
"26683","hsa_circ_0004019","hsa-miR-524-3p"
"26684","hsa_circ_0004019","hsa-miR-525-3p"
"26685","hsa_circ_0004019","hsa-miR-526b-5p"
"26686","hsa_circ_0004019","hsa-miR-527"
"26687","hsa_circ_0004019","hsa-miR-532-3p"
"26688","hsa_circ_0004019","hsa-miR-543"
"26689","hsa_circ_0004019","hsa-miR-545-3p"
"26690","hsa_circ_0004019","hsa-miR-548b-3p"
"26691","hsa_circ_0004019","hsa-miR-548c-3p"
"26692","hsa_circ_0004019","hsa-miR-548g-3p"
"26693","hsa_circ_0004019","hsa-miR-548k"
"26694","hsa_circ_0004019","hsa-miR-548l"
"26695","hsa_circ_0004019","hsa-miR-548m"
"26696","hsa_circ_0004019","hsa-miR-548p"
"26697","hsa_circ_0004019","hsa-miR-549a-3p"
"26698","hsa_circ_0004019","hsa-miR-554"
"26699","hsa_circ_0004019","hsa-miR-555"
"26700","hsa_circ_0004019","hsa-miR-556-3p"
"26701","hsa_circ_0004019","hsa-miR-556-5p"
"26702","hsa_circ_0004019","hsa-miR-557"
"26703","hsa_circ_0004019","hsa-miR-558"
"26704","hsa_circ_0004019","hsa-miR-561-3p"
"26705","hsa_circ_0004019","hsa-miR-562"
"26706","hsa_circ_0004019","hsa-miR-564"
"26707","hsa_circ_0004019","hsa-miR-566"
"26708","hsa_circ_0004019","hsa-miR-567"
"26709","hsa_circ_0004019","hsa-miR-568"
"26710","hsa_circ_0004019","hsa-miR-569"
"26711","hsa_circ_0004019","hsa-miR-570-3p"
"26712","hsa_circ_0004019","hsa-miR-571"
"26713","hsa_circ_0004019","hsa-miR-572"
"26714","hsa_circ_0004019","hsa-miR-574-5p"
"26715","hsa_circ_0004019","hsa-miR-576-3p"
"26716","hsa_circ_0004019","hsa-miR-576-5p"
"26717","hsa_circ_0004019","hsa-miR-577"
"26718","hsa_circ_0004019","hsa-miR-578"
"26719","hsa_circ_0004019","hsa-miR-579-3p"
"26720","hsa_circ_0004019","hsa-miR-580-3p"
"26721","hsa_circ_0004019","hsa-miR-581"
"26722","hsa_circ_0004019","hsa-miR-582-3p"
"26723","hsa_circ_0004019","hsa-miR-583"
"26724","hsa_circ_0004019","hsa-miR-584-5p"
"26725","hsa_circ_0004019","hsa-miR-585-3p"
"26726","hsa_circ_0004019","hsa-miR-586"
"26727","hsa_circ_0004019","hsa-miR-587"
"26728","hsa_circ_0004019","hsa-miR-589-5p"
"26729","hsa_circ_0004019","hsa-miR-590-5p"
"26730","hsa_circ_0004019","hsa-miR-591"
"26731","hsa_circ_0004019","hsa-miR-593-3p"
"26732","hsa_circ_0004019","hsa-miR-595"
"26733","hsa_circ_0004019","hsa-miR-598-3p"
"26734","hsa_circ_0004019","hsa-miR-599"
"26735","hsa_circ_0004019","hsa-miR-600"
"26736","hsa_circ_0004019","hsa-miR-604"
"26737","hsa_circ_0004019","hsa-miR-605-5p"
"26738","hsa_circ_0004019","hsa-miR-606"
"26739","hsa_circ_0004019","hsa-miR-607"
"26740","hsa_circ_0004019","hsa-miR-609"
"26741","hsa_circ_0004019","hsa-miR-610"
"26742","hsa_circ_0004019","hsa-miR-614"
"26743","hsa_circ_0004019","hsa-miR-615-3p"
"26744","hsa_circ_0004019","hsa-miR-615-5p"
"26745","hsa_circ_0004019","hsa-miR-616-3p"
"26746","hsa_circ_0004019","hsa-miR-618"
"26747","hsa_circ_0004019","hsa-miR-619-3p"
"26748","hsa_circ_0004019","hsa-miR-620"
"26749","hsa_circ_0004019","hsa-miR-621"
"26750","hsa_circ_0004019","hsa-miR-622"
"26751","hsa_circ_0004019","hsa-miR-623"
"26752","hsa_circ_0004019","hsa-miR-624-3p"
"26753","hsa_circ_0004019","hsa-miR-625-5p"
"26754","hsa_circ_0004019","hsa-miR-626"
"26755","hsa_circ_0004019","hsa-miR-628-3p"
"26756","hsa_circ_0004019","hsa-miR-629-5p"
"26757","hsa_circ_0004019","hsa-miR-630"
"26758","hsa_circ_0004019","hsa-miR-633"
"26759","hsa_circ_0004019","hsa-miR-634"
"26760","hsa_circ_0004019","hsa-miR-635"
"26761","hsa_circ_0004019","hsa-miR-636"
"26762","hsa_circ_0004019","hsa-miR-640"
"26763","hsa_circ_0004019","hsa-miR-643"
"26764","hsa_circ_0004019","hsa-miR-644a"
"26765","hsa_circ_0004019","hsa-miR-645"
"26766","hsa_circ_0004019","hsa-miR-646"
"26767","hsa_circ_0004019","hsa-miR-647"
"26768","hsa_circ_0004019","hsa-miR-648"
"26769","hsa_circ_0004019","hsa-miR-649"
"26770","hsa_circ_0004019","hsa-miR-651-5p"
"26771","hsa_circ_0004019","hsa-miR-652-3p"
"26772","hsa_circ_0004019","hsa-miR-653-5p"
"26773","hsa_circ_0004019","hsa-miR-654-3p"
"26774","hsa_circ_0004019","hsa-miR-656-3p"
"26775","hsa_circ_0004019","hsa-miR-657"
"26776","hsa_circ_0004019","hsa-miR-658"
"26777","hsa_circ_0004019","hsa-miR-659-3p"
"26778","hsa_circ_0004019","hsa-miR-660-5p"
"26779","hsa_circ_0004019","hsa-miR-661"
"26780","hsa_circ_0004019","hsa-miR-663b"
"26781","hsa_circ_0004019","hsa-miR-665"
"26782","hsa_circ_0004019","hsa-miR-668-3p"
"26783","hsa_circ_0004019","hsa-miR-671-5p"
"26784","hsa_circ_0004019","hsa-miR-7"
"26785","hsa_circ_0004019","hsa-miR-758-3p"
"26786","hsa_circ_0004019","hsa-miR-766-3p"
"26787","hsa_circ_0004019","hsa-miR-767-3p"
"26788","hsa_circ_0004019","hsa-miR-767-5p"
"26789","hsa_circ_0004019","hsa-miR-769-3p"
"26790","hsa_circ_0004019","hsa-miR-769-5p"
"26791","hsa_circ_0004019","hsa-miR-873-5p"
"26792","hsa_circ_0004019","hsa-miR-874-3p"
"26793","hsa_circ_0004019","hsa-miR-875-5p"
"26794","hsa_circ_0004019","hsa-miR-876-3p"
"26795","hsa_circ_0004019","hsa-miR-877-5p"
"26796","hsa_circ_0004019","hsa-miR-885-3p"
"26797","hsa_circ_0004019","hsa-miR-885-5p"
"26798","hsa_circ_0004019","hsa-miR-887-3p"
"26799","hsa_circ_0004019","hsa-miR-888-5p"
"26800","hsa_circ_0004019","hsa-miR-889-3p"
"26801","hsa_circ_0004019","hsa-miR-890"
"26802","hsa_circ_0004019","hsa-miR-891b"
"26803","hsa_circ_0004019","hsa-miR-892a"
"26804","hsa_circ_0004019","hsa-miR-892b"
"26805","hsa_circ_0004019","hsa-miR-921"
"26806","hsa_circ_0004019","hsa-miR-924"
"26807","hsa_circ_0004019","hsa-miR-933"
"26808","hsa_circ_0004019","hsa-miR-934"
"26809","hsa_circ_0004019","hsa-miR-935"
"26810","hsa_circ_0004019","hsa-miR-936"
"26811","hsa_circ_0004019","hsa-miR-938"
"26812","hsa_circ_0004019","hsa-miR-940"
"26813","hsa_circ_0004019","hsa-miR-942-5p"
"26814","hsa_circ_0004019","hsa-miR-944"
"26815","hsa_circ_0030049","hsa-miR-1246"
"26816","hsa_circ_0030049","hsa-miR-1288-3p"
"26817","hsa_circ_0030049","hsa-miR-1290"
"26818","hsa_circ_0030049","hsa-miR-136-5p"
"26819","hsa_circ_0030049","hsa-miR-431-5p"
"26820","hsa_circ_0030049","hsa-miR-485-3p"
"26821","hsa_circ_0030049","hsa-miR-487a-3p"
"26822","hsa_circ_0030049","hsa-miR-488-3p"
"26823","hsa_circ_0030049","hsa-miR-490-5p"
"26824","hsa_circ_0030049","hsa-miR-498-5p"
"26825","hsa_circ_0030049","hsa-miR-515-5p"
"26826","hsa_circ_0030049","hsa-miR-653-5p"
"26827","hsa_circ_0030049","hsa-miR-944"
"26828","hsa_circ_0007312","hsa-miR-1290"
"26829","hsa_circ_0007312","hsa-miR-1298-5p"
"26830","hsa_circ_0007312","hsa-miR-1322"
"26831","hsa_circ_0007312","hsa-miR-370-3p"
"26832","hsa_circ_0007312","hsa-miR-375-3p"
"26833","hsa_circ_0007312","hsa-miR-432-5p"
"26834","hsa_circ_0007312","hsa-miR-486-3p"
"26835","hsa_circ_0007312","hsa-miR-515-5p"
"26836","hsa_circ_0007312","hsa-miR-586"
"26837","hsa_circ_0087249","hsa-miR-1183"
"26838","hsa_circ_0087249","hsa-miR-1208"
"26839","hsa_circ_0087249","hsa-miR-1225-5p"
"26840","hsa_circ_0087249","hsa-miR-1246"
"26841","hsa_circ_0087249","hsa-miR-1290"
"26842","hsa_circ_0087249","hsa-miR-144-3p"
"26843","hsa_circ_0087249","hsa-miR-145-5p"
"26844","hsa_circ_0087249","hsa-miR-186-5p"
"26845","hsa_circ_0087249","hsa-miR-203a-3p"
"26846","hsa_circ_0087249","hsa-miR-382-5p"
"26847","hsa_circ_0087249","hsa-miR-411-5p"
"26848","hsa_circ_0087249","hsa-miR-486-3p"
"26849","hsa_circ_0087249","hsa-miR-502-5p"
"26850","hsa_circ_0087249","hsa-miR-515-5p"
"26851","hsa_circ_0087249","hsa-miR-517a-3p"
"26852","hsa_circ_0087249","hsa-miR-517c-3p"
"26853","hsa_circ_0087249","hsa-miR-520g-3p"
"26854","hsa_circ_0087249","hsa-miR-520h"
"26855","hsa_circ_0087249","hsa-miR-548c-3p"
"26856","hsa_circ_0087249","hsa-miR-548m"
"26857","hsa_circ_0087249","hsa-miR-558"
"26858","hsa_circ_0087249","hsa-miR-570-3p"
"26859","hsa_circ_0087249","hsa-miR-576-3p"
"26860","hsa_circ_0087249","hsa-miR-576-5p"
"26861","hsa_circ_0087249","hsa-miR-581"
"26862","hsa_circ_0087249","hsa-miR-587"
"26863","hsa_circ_0087249","hsa-miR-607"
"26864","hsa_circ_0087249","hsa-miR-618"
"26865","hsa_circ_0087249","hsa-miR-623"
"26866","hsa_circ_0087249","hsa-miR-626"
"26867","hsa_circ_0087249","hsa-miR-646"
"26868","hsa_circ_0087249","hsa-miR-885-5p"
"26869","hsa_circ_0087249","hsa-miR-935"
"26870","hsa_circ_0087249","hsa-miR-936"
"26871","hsa_circ_0087249","hsa-miR-942-5p"
